Time             Sev Major Minor Args
Jan 01 00:06:44    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:06:44    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:06:44    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:06:44    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:06:44    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:06:44    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:06:44    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:06:44    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:06:44    2 13103     0 io-audio[deva_srf_session.c:619]: DEVA: session_deva_timer_thread: Calling timer_settime() on <deva_timer_play_mpl5_dio_ent>, where <ns_old=  16000400> and <ns_new=  16000000>
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:06:44    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:06:44    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:06:44    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:06:44    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:06:44    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:06:44    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:06:44    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:06:44    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:06:44    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:06:44    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:06:44    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
